|                      model_slug                      |         field_name         | n  |
| the-princess-bride-collectors-edition                | corporate_entity           | 1  |
| the-princess-bride-collectors-edition                | month                      | 1  |
| the-princess-bride-collectors-edition                | name                       | 2  |
| the-princess-bride-collectors-edition                | opdb.common_name           | 1  |
| the-princess-bride-collectors-edition                | opdb.features              | 1  |
| the-princess-bride-collectors-edition                | opdb.images                | 1  |
| the-princess-bride-collectors-edition                | opdb_id                    | 2  |
| the-princess-bride-collectors-edition                | slug                       | 1  |
| the-princess-bride-collectors-edition                | tag                        | 1  |
| the-princess-bride-collectors-edition                | theme                      | 2  |
| the-princess-bride-collectors-edition                | title                      | 1  |
| the-princess-bride-collectors-edition                | variant_of                 | 1  |
| the-princess-bride-collectors-edition                | year                       | 1  |
| the-princess-bride-limited-edition                   | abbreviation               | 1  |
| the-princess-bride-limited-edition                   | corporate_entity           | 1  |
| the-princess-bride-limited-edition                   | month                      | 1  |
| the-princess-bride-limited-edition                   | name                       | 2  |
| the-princess-bride-limited-edition                   | opdb.features              | 1  |
| the-princess-bride-limited-edition                   | opdb.images                | 1  |
| the-princess-bride-limited-edition                   | opdb_id                    | 2  |
| the-princess-bride-limited-edition                   | slug                       | 1  |
| the-princess-bride-limited-edition                   | tag                        | 1  |
| the-princess-bride-limited-edition                   | theme                      | 2  |
| the-princess-bride-limited-edition                   | title                      | 1  |
| the-princess-bride-limited-edition                   | variant_of                 | 1  |
| the-princess-bride-limited-edition                   | year                       | 1  |
| weird-als-museum-of-natural-hilarity                 | abbreviation               | 1  |
| weird-als-museum-of-natural-hilarity                 | corporate_entity           | 1  |
| weird-als-museum-of-natural-hilarity                 | display_type               | 2  |
| weird-als-museum-of-natural-hilarity                 | month                      | 1  |
| weird-als-museum-of-natural-hilarity                 | name                       | 2  |
| weird-als-museum-of-natural-hilarity                 | opdb.features              | 1  |
| weird-als-museum-of-natural-hilarity                 | opdb.images                | 1  |
| weird-als-museum-of-natural-hilarity                 | opdb_id                    | 2  |
| weird-als-museum-of-natural-hilarity                 | player_count               | 1  |
| weird-als-museum-of-natural-hilarity                 | slug                       | 1  |
| weird-als-museum-of-natural-hilarity                 | technology_generation      | 2  |
| weird-als-museum-of-natural-hilarity                 | theme                      | 3  |
| weird-als-museum-of-natural-hilarity                 | title                      | 1  |
| weird-als-museum-of-natural-hilarity                 | year                       | 1  |
| weird-als-museum-of-natural-hilarity-limited-edition | corporate_entity           | 1  |
| weird-als-museum-of-natural-hilarity-limited-edition | month                      | 1  |
| weird-als-museum-of-natural-hilarity-limited-edition | name                       | 2  |
| weird-als-museum-of-natural-hilarity-limited-edition | opdb.features              | 1  |
| weird-als-museum-of-natural-hilarity-limited-edition | opdb_id                    | 2  |
| weird-als-museum-of-natural-hilarity-limited-edition | slug                       | 1  |
| weird-als-museum-of-natural-hilarity-limited-edition | tag                        | 1  |
| weird-als-museum-of-natural-hilarity-limited-edition | theme                      | 3  |
| weird-als-museum-of-natural-hilarity-limited-edition | title                      | 1  |
| weird-als-museum-of-natural-hilarity-limited-edition | variant_of                 | 1  |
| weird-als-museum-of-natural-hilarity-limited-edition | year                       | 1  |
+------------------------------------------------------+----------------------------+----+
